Composition,D1,SigmaA1,nuSigmaF1,SigmaS1to2,D2,SigmaA2,nuSigmaF2
1,1.4,0.009,0.0065,0.016,0.375,0.08,0.122
2,1.4,0.009,0.0057,0.017,0.375,0.07,0.1
3,1.4,0.009,0.0051,0.018,0.375,0.06,0.08
4,1.4,0.009,0.0051,0.018,0.375,0.05,0.07
5,1.68,0.008,0.0063,0.01,0.53,0.077,0.118
6,1.68,0.0085,0.0055,0.0105,0.53,0.067,0.096
7,1.68,0.009,0.0049,0.011,0.53,0.057,0.078
8,1.68,0.009,0.0049,0.011,0.53,0.047,0.068
9,2,0.0078,0.0061,0.0052,0.8,0.073,0.114
10,2,0.0082,0.0053,0.0053,0.8,0.063,0.092
11,2,0.0086,0.0047,0.0054,0.8,0.053,0.072
12,2,0.0086,0.0047,0.0054,0.8,0.043,0.062
13,1.53,0.0005,0,0.031,0.295,0.009,0
14,1.11,0.08375,0,0.00375,0.185,0.95,0
15,2,0,0,0.04,0.3,0.01,0
