Mass then Time (d),H1,H2,H3,He3,He4,He6,Li6,Li7,Li8,Be8,Be9,Be10,Be11,B10,B11,B12,C12,C13,C14,C15,N13,N14,N15,N16,N17,O16,O17,O18,O19,F18,F19,F20,Ne20
Masses,1.007825032,2.014101778,3.0160492779,3.01602932,4.002603254,6.151228874,6.015122887,7.0160034366,8.022486246,8.005305102,9.012183065,10.013534695,11.02166108,10.01293695,11.00930536,12.0269221,12.0,13.003354835,14.003241988,15.01059926,13.00573861,14.003074004,15.000108898,16.0061019,17.008449,15.994914619,16.999131756,17.999159612,19.003578,17.9991596129,18.998403162,19.999981252,19.992440176
DecayConts,0.0,0.0,1.7828336472e-09,0.0,0.0,0.858918439356,0.0,0.0,0.825175214952,1.15524530093e+16,0.0,1.46430058171e-14,0.0502280565623,0.0,0.0,34.3142168594,0.0,0.0,3.84330827245e-12,0.282917216555,0.00115872146533,0.0,0.0,0.0972155933464,0.166063052362,0.0,0.0,0.0,0.0257675531807,0.000105242352276,0.0,0.0624456919423,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,9.24460401958e+23,1.12555185435e+25,0.0,0.0,6.08998947272e+24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43599578909e+25,0.0,0.0
0.7305,4.78407079384e+18,2.07002328778e+18,2.07938188937e+18,2.33979490854e+14,4.15202748749e+19,3.99412213995e+13,9.24462766918e+23,1.125551674e+25,5989810483.29,0.0155291968396,6.08997758098e+24,6.9265250398e+13,6.48556752187,133525.130938,1.17131635494e+12,2961202.24007,6.41322072097e+12,3.00083298381e+12,2.57775472886e+12,101666958.978,2875.91112777,1.04000801056e+13,2.93504860623e+19,3.55944036711e+14,12616820.8501,2.18399367287e+18,1.00166723215e+18,4.48860346186e+18,8.7100260928e+14,4.18651360624e+17,2.43599156728e+25,2.36809958614e+12,9.33332538795e+15
1.461,9.56813904529e+18,4.14004436359e+18,4.15853057935e+18,7.0191155861e+14,8.30404804881e+19,3.99418936139e+13,9.24465131912e+23,1.12555149366e+25,5989924535.16,0.0155291665267,6.08996568927e+24,1.38530365487e+14,19.4587572752,470085.697581,3.51395078662e+12,5922398.1663,1.92396494265e+13,9.00265543423e+12,7.73325789006e+12,203339347.515,8666.51687628,3.12002024197e+13,5.87008959918e+19,3.56001480425e+14,25234803.2524,4.36833860326e+18,2.00333112181e+18,9.34107036006e+18,8.71536335828e+14,4.7343078172e+17,2.43598734556e+25,2.36869617615e+12,1.86690020996e+16
2.1915,1.4352204755e+19,6.21006322744e+18,6.23744609681e+18,1.40376929242e+15,1.24560616834e+20,3.99418290785e+13,9.24467496899e+23,1.12555131331e+25,5989923584.39,0.0155291362043,6.08995379759e+24,2.07795345272e+14,38.9195794414,1079191.98761,7.02790501684e+12,8883586.41142,3.84792704189e+13,1.80054615569e+13,1.54665031871e+13,305011472.64,17372.3299273,6.2400329045e+13,8.80512297885e+19,3.56000931756e+14,37852743.6641,6.55267896259e+18,3.00499166899e+18,1.42411410647e+19,8.7153515431e+14,4.80597893193e+17,2.43598312385e+25,2.36869222343e+12,2.80046632325e+16
2.922,1.91362679235e+19,8.28007987936e+18,8.31612846865e+18,2.33952578454e+15,1.66080683912e+20,3.99417645296e+13,9.24469861881e+23,1.12555113297e+25,5989922633.68,0.0155291058819,6.08994190593e+24,2.77060189757e+14,64.8680435572,2030354.27162,1.17131807674e+13,11844766.9754,6.41320680008e+13,3.00092455308e+13,2.57774843234e+13,406683334.035,28993.3467171,1.04000422085e+14,1.17401487453e+20,3.56000373638e+14,50470641.9707,8.73701469288e+18,4.00664887369e+18,1.91474332933e+19,8.7153364409e+14,4.81534977612e+17,2.43597890215e+25,2.36868811839e+12,3.73403081863e+16
3.6525,2.39203285515e+19,1.03500943194e+19,1.03945777217e+19,3.50915413032e+15,2.07600681723e+20,3.99416999809e+13,9.24472226857e+23,1.12555095262e+25,5989921685.23,0.0155290755596,6.08993001429e+24,3.46324898944e+14,97.3041591588,3393082.80311,1.75697797599e+13,14805939.8584,9.61980264745e+13,4.50140015353e+13,3.86661950025e+13,508354931.702,43529.5567179,1.56000443642e+14,1.46751668985e+20,3.55999815519e+14,63088498.1721,1.09213457941e+19,5.00830273592e+18,2.4054532212e+19,8.71532133671e+14,4.81656868705e+17,2.43597468045e+25,2.36868401332e+12,4.66759369609e+16
4.383,2.87043866396e+19,1.24201065475e+19,1.2472793883e+19,4.91262742823e+15,2.49120610267e+20,3.99416354323e+13,9.24474591826e+23,1.12555077228e+25,5989920739.04,0.0155290452374,6.08991812267e+24,4.1558947284e+14,136.227935783,5236887.8185,2.45977037163e+13,17767105.0602,1.34677130142e+14,6.30197237493e+13,5.41326289279e+13,610026265.639,60980.9493082,2.18400355819e+14,1.76101774384e+20,3.55999257402e+14,75706312.2685,1.31056722663e+19,6.0099532557e+18,2.89617292949e+19,8.71530623255e+14,4.81672092501e+17,2.43597045877e+25,2.36867990825e+12,5.60115495563e+16
5.1135,3.34884421884e+19,1.44901165638e+19,1.45507769792e+19,6.54991877982e+15,2.90640469544e+20,3.99415708837e+13,9.2447695679e+23,1.12555059193e+25,5989919795.11,0.0155290149152,6.08990623108e+24,4.84853911446e+14,181.639382965,7631279.53713,3.27969543582e+13,20728262.5811,1.79569363307e+14,8.40264063522e+13,7.21767798032e+13,711697335.848,81347.5138652,2.9120012072e+14,2.05451803652e+20,3.55998699285e+14,88324084.26,1.52899941095e+19,7.01160043303e+18,3.3868931832e+19,8.71529112841e+14,4.81673358979e+17,2.43596623709e+25,2.36867580319e+12,6.53471459725e+16
