MeV,barns
1.00E-11,58.2905
1.11E-11,55.485
1.23E-11,52.8336
1.37E-11,50.3263
1.52E-11,47.9586
1.69E-11,45.7216
1.88E-11,43.6112
2.09E-11,41.6193
2.32E-11,39.7423
2.57E-11,37.9729
2.86E-11,36.308
3.18E-11,34.741
3.53E-11,33.2689
3.92E-11,31.8859
4.35E-11,30.5893
4.87E-11,29.2959
5.45E-11,28.091
6.09E-11,26.9703
6.82E-11,25.9295
7.62E-11,24.9647
8.59E-11,24.0183
9.68E-11,23.1494
1.09E-10,22.3527
1.24E-10,21.5838
1.40E-10,20.8869
1.60E-10,20.224
1.83E-10,19.6301
2.11E-10,19.074
2.44E-10,18.5597
2.85E-10,18.0896
3.34E-10,17.6652
3.98E-10,17.2723
4.81E-10,16.9167
5.90E-10,16.6017
7.38E-10,16.3203
9.49E-10,16.0703
1.27E-09,15.8519
1.77E-09,15.6634
2.64E-09,15.5058
4.34E-09,15.3749
8.44E-09,15.2618
2.24E-08,15.1332
2.52E-08,15.1156
2.53E-08,15.1153
1.21E-07,14.6854
2.22E-07,14.3065
2.61E-07,14.2447
2.62E-07,14.2446
3.26E-07,14.2988
3.78E-07,14.2352
6.00E-07,13.753
9.60E-07,13.152
1.05E-06,13.033
1.06E-06,13.029
1.10E-06,13.0635
1.13E-06,13.2041
1.17E-06,13.3618
1.19E-06,13.4045
1.23E-06,13.3637
1.32E-06,13.1451
1.51E-06,12.8659
1.89E-06,12.4381
1.96E-06,12.2964
2.00E-06,12.2082
2.01E-06,12.2465
2.03E-06,12.3787
2.05E-06,12.5871
2.07E-06,12.6577
2.07E-06,12.6642
2.11E-06,12.5803
2.17E-06,12.4504
2.33E-06,12.2767
2.68E-06,11.9694
2.83E-06,11.827
2.97E-06,11.7206
3.08E-06,11.6071
3.11E-06,11.6443
3.15E-06,11.7911
3.18E-06,11.9137
3.21E-06,11.961
3.21E-06,11.9615
3.26E-06,11.9076
3.46E-06,11.4778
3.54E-06,11.2789
3.55E-06,11.2737
3.57E-06,11.3168
3.58E-06,11.389
3.59E-06,11.5742
3.63E-06,12.1862
3.65E-06,12.3676
3.66E-06,12.4351
3.67E-06,12.4465
3.69E-06,12.4125
3.76E-06,12.1083
3.81E-06,11.9488
3.91E-06,11.7687
4.08E-06,11.5717
4.46E-06,11.2242
4.59E-06,11.0608
4.67E-06,10.8949
4.71E-06,10.7524
4.74E-06,10.5802
4.78E-06,10.3543
4.79E-06,10.3272
4.80E-06,10.354
4.81E-06,10.43
4.82E-06,10.5625
4.83E-06,10.7784
4.84E-06,11.1974
4.86E-06,11.7217
4.87E-06,11.9732
4.88E-06,12.096
4.89E-06,12.1946
4.90E-06,12.2345
4.91E-06,12.1923
4.96E-06,11.7979
4.98E-06,11.6436
5.01E-06,11.5107
5.07E-06,11.347
5.18E-06,11.1556
5.33E-06,10.9739
5.64E-06,10.7334
5.80E-06,10.5459
5.91E-06,10.3352
6.02E-06,10.075
6.13E-06,9.75877
6.19E-06,9.60568
6.22E-06,9.47456
6.25E-06,9.28641
6.28E-06,8.93476
6.29E-06,8.8591
6.30E-06,8.84415
6.31E-06,8.86619
6.31E-06,8.91993
6.32E-06,9.01271
6.33E-06,9.15097
6.33E-06,9.31144
6.34E-06,9.57324
6.34E-06,9.90357
6.35E-06,10.3581
6.36E-06,10.947
6.37E-06,11.661
6.39E-06,13.6068
6.40E-06,14.3093
6.40E-06,14.7501
6.41E-06,15.11
6.41E-06,15.3505
6.42E-06,15.5214
6.43E-06,15.6239
6.43E-06,15.6622
6.44E-06,15.6112
6.45E-06,15.4562
6.46E-06,15.2266
6.49E-06,13.8973
6.51E-06,13.4261
6.53E-06,13.0611
6.54E-06,12.7702
6.56E-06,12.5102
6.58E-06,12.3004
6.61E-06,12.0119
6.64E-06,11.7895
6.69E-06,11.5307
6.78E-06,11.1304
6.87E-06,10.7603
6.92E-06,10.5224
6.99E-06,10.0774
7.01E-06,10.0305
7.02E-06,10.0541
7.03E-06,10.1417
7.04E-06,10.2844
7.05E-06,10.4511
7.06E-06,10.7071
7.10E-06,11.6779
7.11E-06,11.9522
7.12E-06,12.161
7.13E-06,12.2896
7.14E-06,12.3285
7.16E-06,12.2772
7.19E-06,12.0466
7.22E-06,11.7427
7.25E-06,11.5626
7.29E-06,11.3719
7.36E-06,11.1487
7.46E-06,10.9042
7.62E-06,10.6236
7.83E-06,10.2562
8.00E-06,9.92367
8.11E-06,9.64756
8.20E-06,9.40421
8.28E-06,9.11465
8.33E-06,8.89671
8.38E-06,8.64024
8.43E-06,8.36728
8.46E-06,8.1212
8.51E-06,7.72406
8.58E-06,7.13619
8.60E-06,6.97546
8.61E-06,6.91038
8.62E-06,6.89879
8.63E-06,6.91685
8.64E-06,6.98208
8.65E-06,7.05829
8.66E-06,7.1658
8.66E-06,7.30927
8.67E-06,7.49343
8.68E-06,7.7229
8.68E-06,8.00198
8.69E-06,8.27512
8.69E-06,8.58696
8.70E-06,8.81692
8.70E-06,9.33047
8.71E-06,9.91485
8.72E-06,10.601
8.73E-06,11.3542
8.73E-06,12.2823
8.75E-06,14.2698
8.76E-06,15.4969
8.77E-06,16.7299
8.78E-06,17.4254
8.79E-06,18.2389
8.80E-06,18.7544
8.81E-06,19.1684
8.82E-06,19.5033
8.82E-06,19.7157
8.83E-06,19.8105
8.83E-06,19.8179
8.84E-06,19.7748
8.85E-06,19.6458
8.86E-06,19.4041
8.87E-06,18.9836
8.93E-06,16.9786
8.95E-06,16.1878
8.97E-06,15.6971
8.99E-06,15.0763
9.02E-06,14.6271
9.04E-06,14.1548
9.09E-06,13.4558
9.14E-06,12.8324
9.17E-06,12.5133
9.19E-06,12.349
9.21E-06,12.2718
9.22E-06,12.2576
9.24E-06,12.3076
9.25E-06,12.4532
9.28E-06,12.8151
9.31E-06,13.1429
9.33E-06,13.2749
9.34E-06,13.3422
9.35E-06,13.3514
9.38E-06,13.2916
9.42E-06,13.0599
9.47E-06,12.7172
9.52E-06,12.4343
9.60E-06,12.1259
9.66E-06,11.9443
9.74E-06,11.8229
9.83E-06,11.701
9.93E-06,11.4438
1.00E-05,11.1427
1.01E-05,10.9534
1.01E-05,10.9201
1.01E-05,10.966
1.02E-05,11.125
1.02E-05,11.3599
1.02E-05,11.4301
1.02E-05,11.4483
1.03E-05,11.4071
1.04E-05,11.1283
1.05E-05,10.8479
1.08E-05,10.4758
1.09E-05,10.226
1.11E-05,10.0079
1.12E-05,9.74709
1.12E-05,9.53513
1.13E-05,9.25483
1.14E-05,8.98316
1.14E-05,8.75624
1.14E-05,8.48242
1.15E-05,8.23733
1.15E-05,7.94704
1.15E-05,7.46238
1.15E-05,7.36159
1.15E-05,7.3313
1.16E-05,7.3452
1.16E-05,7.39218
1.16E-05,7.4774
1.16E-05,7.61642
1.16E-05,7.75601
1.16E-05,7.92993
1.16E-05,8.14066
1.16E-05,8.39019
1.16E-05,8.67994
1.16E-05,9.01059
1.16E-05,9.382
1.16E-05,9.79309
1.16E-05,10.4793
1.16E-05,11.3445
1.16E-05,12.7335
1.17E-05,14.777
1.17E-05,15.814
1.17E-05,16.5818
1.17E-05,17.1466
1.17E-05,17.5116
1.17E-05,17.8514
1.17E-05,18.0587
1.17E-05,18.1363
1.17E-05,18.1372
1.17E-05,18.0928
1.17E-05,17.9411
1.17E-05,17.6977
1.17E-05,17.2624
1.18E-05,16.4617
1.18E-05,15.3442
1.18E-05,14.54
1.18E-05,14.0128
1.18E-05,13.5458
1.18E-05,13.1379
1.18E-05,12.7748
1.18E-05,12.3088
1.19E-05,11.9305
1.19E-05,11.6105
1.19E-05,11.2513
1.19E-05,10.8349
1.20E-05,10.3815
1.21E-05,9.03904
1.22E-05,8.20616
1.22E-05,8.04844
1.22E-05,7.99435
1.22E-05,7.98981
1.22E-05,8.01771
1.22E-05,8.09777
1.23E-05,8.1885
1.23E-05,8.31572
1.23E-05,8.48569
1.23E-05,8.72008
1.23E-05,8.98746
1.23E-05,9.24789
1.23E-05,9.55076
1.23E-05,9.89462
1.23E-05,10.2753
1.23E-05,10.7037
1.23E-05,11.182
1.23E-05,11.5295
1.23E-05,12.2948
1.23E-05,13.1549
1.23E-05,14.1093
1.23E-05,15.1546
1.23E-05,16.2845
1.23E-05,17.49
1.23E-05,19.4122
1.24E-05,24.7788
1.24E-05,26.4636
1.24E-05,28.016
1.24E-05,29.2922
1.24E-05,30.1628
1.24E-05,31.0417
1.24E-05,31.7007
1.24E-05,32.1895
1.24E-05,32.4093
1.24E-05,32.4739
1.24E-05,32.3308
1.24E-05,31.9486
1.25E-05,31.3597
1.25E-05,30.6015
1.25E-05,29.2338
1.25E-05,24.6056
1.25E-05,23.1845
1.25E-05,21.9042
1.25E-05,21.1359
1.25E-05,20.1419
1.26E-05,19.2821
1.26E-05,18.5399
1.26E-05,17.9017
1.26E-05,17.1848
1.26E-05,16.5899
1.26E-05,16.0895
1.26E-05,15.4712
1.27E-05,14.9691
1.27E-05,14.5771
1.27E-05,14.135
1.27E-05,13.7608
1.28E-05,13.4847
1.28E-05,13.2889
1.28E-05,13.1291
1.29E-05,12.9071
1.30E-05,12.6473
1.31E-05,12.1554
1.31E-05,11.9051
1.32E-05,11.7286
1.33E-05,11.6598
1.33E-05,11.611
1.34E-05,11.5205
1.35E-05,11.0252
1.36E-05,10.8812
1.36E-05,10.8399
1.37E-05,10.8281
1.37E-05,10.8376
1.38E-05,10.9288
1.39E-05,11.0936
1.40E-05,11.4358
1.41E-05,11.6868
1.42E-05,11.7659
1.42E-05,11.7713
1.42E-05,11.7307
1.43E-05,11.6123
1.44E-05,11.4102
1.44E-05,11.1924
1.45E-05,11.1419
1.45E-05,11.1761
1.45E-05,11.2917
1.45E-05,11.5111
1.46E-05,12.0372
1.46E-05,12.1999
1.46E-05,12.2735
1.46E-05,12.2777
1.46E-05,12.2383
1.47E-05,12.0621
1.47E-05,11.7194
1.48E-05,11.5225
1.48E-05,11.3224
1.50E-05,10.9466
1.51E-05,10.6372
1.52E-05,10.4103
1.53E-05,10.0747
1.53E-05,10.0208
1.53E-05,10.0154
1.53E-05,10.0311
1.53E-05,10.1195
1.54E-05,10.2411
1.54E-05,10.4276
1.54E-05,10.8262
1.54E-05,11.3203
1.55E-05,11.5494
1.55E-05,11.6834
1.55E-05,11.77
1.55E-05,11.7801
1.55E-05,11.7398
1.55E-05,11.5811
1.56E-05,11.1254
1.57E-05,10.7806
1.58E-05,10.2738
1.59E-05,9.97863
1.59E-05,9.596
1.60E-05,9.38236
1.60E-05,9.3164
1.60E-05,9.307
1.60E-05,9.32141
1.60E-05,9.3862
1.60E-05,9.51256
1.60E-05,9.70782
1.60E-05,9.97418
1.60E-05,10.2712
1.61E-05,10.6951
1.61E-05,12.0361
1.61E-05,12.5157
1.61E-05,12.7537
1.61E-05,12.9672
1.61E-05,13.0941
1.62E-05,13.1374
1.62E-05,13.1068
1.62E-05,12.9532
1.62E-05,12.5858
1.63E-05,11.9898
1.63E-05,11.6321
1.63E-05,11.3501
1.64E-05,11.0085
1.65E-05,10.3533
1.65E-05,10.1414
1.65E-05,10.0572
1.66E-05,10.0464
1.66E-05,10.0834
1.66E-05,10.1566
1.66E-05,10.3201
1.66E-05,10.6297
1.67E-05,11.1917
1.67E-05,11.3878
1.67E-05,11.5273
1.68E-05,11.5806
1.68E-05,11.5892
1.68E-05,11.5638
1.68E-05,11.434
1.69E-05,11.0637
1.70E-05,10.8452
1.72E-05,10.5509
1.75E-05,9.8877
1.76E-05,9.59261
1.77E-05,9.35308
1.78E-05,9.06845
1.79E-05,8.79525
1.79E-05,8.73317
1.79E-05,8.72356
1.79E-05,8.75581
1.80E-05,8.85303
1.80E-05,9.00238
1.80E-05,9.27026
1.81E-05,9.94732
1.81E-05,10.1665
1.81E-05,10.3032
1.81E-05,10.3769
1.82E-05,10.3879
1.82E-05,10.3589
1.82E-05,10.275
1.84E-05,9.5201
1.86E-05,8.53443
1.87E-05,8.2133
1.88E-05,7.88886
1.88E-05,7.70793
1.89E-05,7.07912
1.90E-05,6.51325
1.90E-05,6.19432
1.91E-05,6.11279
1.91E-05,6.09495
1.91E-05,6.11002
1.91E-05,6.16865
1.91E-05,6.2525
1.91E-05,6.36548
1.91E-05,6.50328
1.91E-05,6.67986
1.91E-05,6.90057
1.91E-05,7.17097
1.91E-05,7.49682
1.91E-05,7.84227
1.92E-05,8.17107
1.92E-05,8.53957
1.92E-05,8.95003
1.92E-05,9.40455
1.92E-05,9.90504
1.92E-05,10.4531
1.92E-05,10.8457
1.92E-05,11.6972
1.92E-05,12.6386
1.92E-05,13.6699
1.92E-05,14.7896
1.92E-05,15.9944
1.92E-05,17.4116
1.92E-05,19.2258
1.92E-05,21.2312
1.93E-05,26.1425
1.93E-05,29.2051
1.93E-05,31.4628
1.93E-05,33.2533
1.93E-05,35.067
1.93E-05,36.007
1.93E-05,37.0708
1.93E-05,38.0586
1.93E-05,38.5895
1.93E-05,39.0592
1.93E-05,39.3018
1.93E-05,39.3854
1.94E-05,39.2894
1.94E-05,38.9536
1.94E-05,38.4014
1.94E-05,37.3808
1.94E-05,36.1069
1.94E-05,34.6591
1.94E-05,29.2138
1.95E-05,27.0671
1.95E-05,25.7666
1.95E-05,24.5808
1.95E-05,23.5101
1.95E-05,22.5498
1.95E-05,21.395
1.95E-05,20.5769
1.96E-05,19.6369
1.96E-05,18.8896
1.96E-05,18.2448
1.96E-05,17.684
1.96E-05,16.9916
1.96E-05,16.4491
1.97E-05,15.8385
1.97E-05,15.3262
1.97E-05,14.889
1.98E-05,14.3532
1.98E-05,13.9065
1.99E-05,13.3939
1.99E-05,12.9525
2.00E-05,12.5881
2.01E-05,12.2447
2.01E-05,12.0474
2.02E-05,11.9111
2.02E-05,11.7815
2.03E-05,11.6412
2.03E-05,11.3161
2.05E-05,10.3287
2.05E-05,10.1809
2.06E-05,10.1336
2.06E-05,10.1638
2.06E-05,10.2805
2.07E-05,10.4474
2.07E-05,10.4802
2.07E-05,10.4398
2.07E-05,10.3535
2.07E-05,10.2096
2.08E-05,9.95145
2.08E-05,9.50188
2.08E-05,9.01731
2.09E-05,8.61337
2.09E-05,8.45315
2.09E-05,8.37092
2.09E-05,8.35745
2.09E-05,8.38331
2.09E-05,8.44788
2.09E-05,8.55928
2.09E-05,8.71725
2.09E-05,8.92268
2.09E-05,9.12689
2.10E-05,9.3704
2.10E-05,9.6555
2.10E-05,9.98409
2.10E-05,10.3576
2.10E-05,10.7767
2.10E-05,11.2416
2.10E-05,12.0228
2.10E-05,12.7621
2.10E-05,13.5638
2.10E-05,14.7497
2.10E-05,17.1437
2.10E-05,19.0054
2.11E-05,20.4228
2.11E-05,21.328
2.11E-05,22.2319
2.11E-05,23.0019
2.11E-05,23.5025
2.11E-05,23.8469
2.11E-05,24.0788
2.11E-05,24.2132
2.11E-05,24.221
2.11E-05,24.1298
2.11E-05,23.8371
2.12E-05,23.3791
2.12E-05,22.5821
2.12E-05,20.6958
2.12E-05,19.3626
2.12E-05,18.2828
2.13E-05,17.6123
2.13E-05,17.0263
2.13E-05,16.5187
2.13E-05,16.0804
2.13E-05,15.5869
2.13E-05,15.177
2.14E-05,14.6797
2.14E-05,14.2601
2.14E-05,14.0194
2.15E-05,13.6207
2.15E-05,13.2364
2.16E-05,12.929
2.16E-05,12.5412
2.17E-05,12.1887
2.18E-05,11.8829
2.20E-05,11.4773
2.23E-05,10.7646
2.25E-05,10.4048
2.25E-05,10.1372
2.26E-05,9.8829
2.27E-05,9.66137
2.27E-05,9.36149
2.28E-05,8.95599
2.28E-05,8.83841
2.28E-05,8.80973
2.28E-05,8.84092
2.28E-05,8.91304
2.29E-05,9.03207
2.29E-05,9.19953
2.29E-05,9.45303
2.29E-05,9.79635
2.30E-05,10.8313
2.30E-05,11.1832
2.30E-05,11.3633
2.30E-05,11.4859
2.30E-05,11.5484
2.30E-05,11.5574
2.30E-05,11.503
2.31E-05,11.3674
2.31E-05,11.1715
2.31E-05,10.8091
2.32E-05,9.19696
2.32E-05,8.74733
2.32E-05,8.56324
2.33E-05,8.4288
2.33E-05,8.38743
2.33E-05,8.38515
2.33E-05,8.42416
2.33E-05,8.50598
2.33E-05,8.63826
2.33E-05,8.79492
2.33E-05,8.99334
2.33E-05,9.14918
2.33E-05,9.51678
2.34E-05,9.95517
2.34E-05,10.4559
2.34E-05,11.2951
2.34E-05,12.9759
2.34E-05,13.6991
2.34E-05,14.27
2.34E-05,14.6101
2.35E-05,14.9161
2.35E-05,15.128
2.35E-05,15.228
2.35E-05,15.2463
2.35E-05,15.2164
2.35E-05,15.1031
2.35E-05,14.8029
2.36E-05,14.2864
2.36E-05,14.0332
2.36E-05,13.8942
2.36E-05,13.8292
2.36E-05,13.8213
2.37E-05,13.9442
2.37E-05,13.9454
2.37E-05,13.9099
2.38E-05,13.749
2.38E-05,13.492
2.40E-05,12.0051
2.41E-05,11.1511
2.41E-05,10.9783
2.41E-05,10.8999
2.41E-05,10.8685
2.42E-05,10.8968
2.42E-05,10.994
2.42E-05,11.1637
2.42E-05,11.4154
2.42E-05,11.8087
2.43E-05,12.6297
2.43E-05,13.0275
2.43E-05,13.2224
2.43E-05,13.3726
2.43E-05,13.452
2.43E-05,13.4669
2.44E-05,13.4281
2.44E-05,13.2994
2.45E-05,12.6579
2.45E-05,12.4432
2.46E-05,12.157
2.47E-05,11.8912
2.48E-05,11.5878
2.49E-05,11.296
2.51E-05,11.0763
2.52E-05,10.9481
2.53E-05,10.9226
2.53E-05,10.9644
2.54E-05,11.0955
2.55E-05,11.3334
2.56E-05,11.7797
2.57E-05,12.0114
2.57E-05,12.1771
2.58E-05,12.2543
2.58E-05,12.2743
2.59E-05,12.2353
2.59E-05,12.1247
2.60E-05,11.8927
2.61E-05,11.4557
2.62E-05,10.6818
2.63E-05,10.4815
2.63E-05,10.3874
2.63E-05,10.3502
2.64E-05,10.3838
2.64E-05,10.4622
2.64E-05,10.5953
2.65E-05,10.8874
2.65E-05,11.543
2.66E-05,11.7841
2.66E-05,11.9175
2.66E-05,11.9916
2.66E-05,12.0142
2.67E-05,11.9584
2.69E-05,11.5465
2.70E-05,11.1346
2.71E-05,11.0687
2.71E-05,11.0608
2.72E-05,11.1205
2.72E-05,11.0889
2.73E-05,10.9545
2.74E-05,10.5966
2.75E-05,10.298
2.76E-05,9.72554
2.76E-05,9.63954
2.76E-05,9.62013
2.77E-05,9.64407
2.77E-05,9.72175
2.77E-05,9.86075
2.77E-05,10.0936
2.77E-05,10.4476
2.78E-05,11.022
2.78E-05,11.6532
2.78E-05,11.9662
2.78E-05,12.2627
2.79E-05,12.4775
2.79E-05,12.5808
2.79E-05,12.6377
2.79E-05,12.6449
2.79E-05,12.6036
2.80E-05,12.4724
2.81E-05,11.7835
2.81E-05,11.5293
2.82E-05,11.3189
2.82E-05,11.2239
2.83E-05,11.1746
2.83E-05,11.2
2.84E-05,11.3356
2.84E-05,11.4892
2.85E-05,11.5388
2.85E-05,11.4962
2.86E-05,11.2325
2.87E-05,11.1257
2.88E-05,11.0064
2.93E-05,10.3744
2.94E-05,10.1834
2.95E-05,9.88402
2.95E-05,9.84277
2.96E-05,9.8735
2.96E-05,9.96008
2.96E-05,10.1469
2.97E-05,10.5258
2.97E-05,10.6575
2.97E-05,10.7054
2.97E-05,10.7075
2.98E-05,10.6692
2.98E-05,10.4898
2.99E-05,10.2679
3.00E-05,10.0389
3.02E-05,9.61401
3.03E-05,9.36871
3.04E-05,9.01376
3.05E-05,8.946
3.05E-05,8.92427
3.05E-05,8.95675
3.06E-05,9.04338
3.06E-05,9.04659
3.07E-05,9.01714
3.07E-05,8.94998
3.07E-05,8.94497
3.07E-05,8.9618
3.08E-05,9.02744
3.08E-05,9.16042
3.08E-05,9.30556
3.08E-05,9.50185
3.08E-05,9.87245
3.09E-05,10.5663
3.09E-05,11.132
3.09E-05,11.4341
3.09E-05,11.6762
3.09E-05,11.7902
3.09E-05,11.8523
3.10E-05,11.8544
3.10E-05,11.8034
3.10E-05,11.6634
3.10E-05,11.3937
3.11E-05,10.8071
3.11E-05,10.4959
3.12E-05,10.2432
3.12E-05,9.93619
3.13E-05,9.59562
3.15E-05,8.72497
3.16E-05,8.4056
3.16E-05,8.15127
3.17E-05,7.91517
3.17E-05,7.64179
3.18E-05,7.32521
3.18E-05,6.61563
3.19E-05,6.48322
3.19E-05,6.41073
3.19E-05,6.36211
3.19E-05,6.35159
3.19E-05,6.3648
3.19E-05,6.41028
3.19E-05,6.49164
3.19E-05,6.61365
3.19E-05,6.78074
3.20E-05,6.99675
3.20E-05,7.26464
3.20E-05,7.47304
3.20E-05,7.78004
3.20E-05,8.12751
3.20E-05,8.57706
3.20E-05,9.07524
3.20E-05,9.80551
3.20E-05,10.8191
3.21E-05,12.8307
3.21E-05,13.7621
3.21E-05,14.5128
3.21E-05,15.0059
3.21E-05,15.3231
3.21E-05,15.7537
3.21E-05,16.0242
3.21E-05,16.2131
3.22E-05,16.3223
3.22E-05,16.3559
3.22E-05,16.2941
3.22E-05,16.1282
3.22E-05,15.7878
3.22E-05,15.1842
3.23E-05,13.8802
3.23E-05,13.3034
3.23E-05,12.8064
3.24E-05,12.3867
3.24E-05,12.0225
3.24E-05,11.6967
3.25E-05,11.3362
3.25E-05,10.9378
3.26E-05,10.609
3.26E-05,10.2372
